"id","category","platform","duration","hook","shots","voiceover","proof_required","CTA","status"
"11","真实试吃","TikTok | Instagram Reels","8-12s","Watch the first bite.","碗边微距；嗅闻；接触；咬碎；颗粒和冻干纹理","Texture you can see. A real reaction you don’t need to script.","不得拼接虚假连续反应；产品外观必须为真实样品","Turn the sound on.","有真实样品即可拍"
"12","真实试吃","TikTok | Instagram Reels | YouTube Shorts","15s","The bowl tells the rest of the story.","喂前称量；正常进食延时；剩余量称重；宠物离开","Served: [x] grams. Left: [y] grams. One normal meal, recorded as it happened.","实际称重；正常喂量；不得把空碗等同健康功效","Follow for the 7-day feeding diary.","有真实样品即可拍"
"13","真实试吃","Instagram Reels | YouTube Shorts | TikTok","25-30s","Switching food? Don’t rush it.","第1天旧粮为主；第3天混合；第7天按计划；主人记录状态","A gradual transition helps owners observe how an individual pet responds. Follow the feeding guide and ask your veterinarian when needed.","过渡比例与最终喂养指南一致；真实记录；不得暗示7天必然改善","Save the transition routine.","待喂养指南"
"14","真实试吃","TikTok | Instagram Reels","15-25s","No talking. No pointing. No pressure.","固定机位；主人放碗离开；猫自主嗅闻和决定；计时","A quiet, normal feeding observation with [cat name]. Results vary by pet.","不剪掉拒食来制造即时接受；允许诚实发布不接受结果","Cat parents: how long does your cat inspect a new food?","有真实猫粮样品即可拍"
"15","真实试吃","YouTube Shorts | Instagram Reels | TikTok","20s","A big bag doesn’t mean a random scoop.","10kg犬粮袋；电子秤；分餐；密封保存；犬只进食","Measure by body weight, life stage and the feeding guide—not by bowl size.","最终喂养指南；体重和生命阶段真实；不提供个体化兽医处方","Comment your dog’s weight for a guide estimate after launch.","待喂养指南及大包装"
"16","真实试吃","TikTok | Instagram Reels","12-16s","Same house. Completely different dinner personalities.","猫检查；狗等待；对应产品和独立碗；分屏进食","TALVUMI cat and dog recipes are planned for different species and life stages—not one formula for everyone.","标签和配方分别适用对应物种和生命阶段；不暗示营养优越","Team cat or team dog?","有猫狗样品即可拍"
"17","真实试吃","Instagram Reels | TikTok | YouTube Shorts","25-35s","Three things I liked—and one thing I’d change.","主人对镜；开袋称量喂食B-roll；3个优点；1个真实改进点","I liked [verified observation], [observation] and [observation]. I’d improve [real feedback]. This sample was provided by TALVUMI.","不得要求只说好话；清楚披露赠样；事实陈述需审核","What should TALVUMI improve before launch?","待首轮UGC达人"
"18","冻干/零食引流","TikTok | Instagram Reels","10-14s","This is what the cat finds first.","真实产品倒在深色台面；找出冻干；掰开微距；放入碗中","Visible freeze-dried pieces inside the recipe—not added for the camera.","实际配方含冻干；抽样画面不得额外加入冻干","Pause when you spot the next piece.","有真实含冻干样品即可拍"
"19","冻干/零食引流","TikTok | Instagram Reels | YouTube Shorts","7-10s","Sound on.","开袋；取出；掰开；落入陶瓷碗；宠物咀嚼","Open. Break. Bowl. Crunch.","真实同期声；不得用与产品不符的夸张音效","Which sound was best?","有真实样品即可拍"
"20","冻干/零食引流","Instagram Reels | TikTok","10-12s","Which bag would you remember in three seconds?","模拟货架掠过匿名包装；TALVUMI停留；黑屏回忆颜色或物种图形","Pet food has seconds to be noticed—and longer to earn trust.","竞品匿名或获授权；不得宣称正式消费者测试结果","Comment the color you remembered.","可拍设计验证版"
"21","冻干/零食引流","TikTok | Instagram Reels | YouTube Shorts","15s","One treat. Three real-life moments.","训练奖励；外出召回；安静陪伴奖励","Training. Walking. Bonding. Keep treats occasional and count them within the daily feeding routine.","必须为已确定零食SKU；不得声称镇静或治疗；提醒控制总量","Which moment uses the most treats in your home?","待零食SKU"
"22","冻干/零食引流","TikTok | Instagram Reels","15-20s","Round one: fish or beef?","两个匿名样品；宠物选择；下一只或下一轮；淘汰赛图","One pet, one choice, one round. We’re collecting observations—not pretending this is a scientific study.","真实口味和SKU；左右随机；不得用小样本发布最受欢迎结论","Follow to see which flavor reaches the final.","待两个零食口味"
"23","冻干/零食引流","LinkedIn | Instagram Reels | TikTok","18s","This tiny pack has one job: earn the next bowl.","样品袋对比手掌；条码；批次码；过渡卡；装入渠道样品箱","A trial pack should be traceable, clearly labeled and easy for a pet parent to evaluate.","样品包装符合当地赠样标签要求；明确不是完整长期喂养量","Retailers: join the first sample-pack pilot.","待样品包装"
"24","冻干/零食引流","YouTube Shorts | LinkedIn | Instagram Reels","20-25s","The bottom of the bag matters too.","倒出标准抽样量；筛出碎屑；称重；显示批次和记录表","We measure what customers actually receive—including fines and broken pieces. This batch recorded [verified result].","完成正式抽样后才显示数值；方法和批次留档","Follow for the next quality check.","有真实样品可先拍无数值版"
"25","批发招商","LinkedIn | YouTube Shorts | Facebook Reels","22-28s","If you sell pet food, open this with us.","外箱开箱；规划SKU样品；产品表；检测资料；包装样；RFQ二维码；装箱清单","Product samples, technical documents, packaging options and a market-specific quotation process—built for serious retail conversations.","样品和文件齐套；不得展示虚构认证、现货或报价","Apply for a distributor sample kit at talvumi.com.","待招商样品箱"
"26","批发招商","LinkedIn | YouTube Shorts | TikTok","20s","Six planned SKUs. Three clear jobs.","成猫海洋鱼1.5kg/10kg；成犬牛肉1.5kg/10kg；幼猫海洋鱼1.5kg/8kg；全系列","Trial-friendly small bags. Value-led large bags. Cat, kitten and dog recipes planned for a focused first range. Final availability is subject to market approval.","规格、合法名称和上市状态确认；必须显示Planned range或Pre-launch","Which two SKUs fit your market first?","待厂家确认6个SKU"
"27","批发招商","LinkedIn | YouTube Shorts","25-30s","Good wholesale economics start before the unit price.","单袋价格；箱规；托盘；运输；破损；库存周转；试吃转化；利润模型","Landed cost, case pack, damage rate, shelf velocity and reorder support all shape retailer margin. We quote by market—not with one misleading global number.","没有实际物流报价时不放数字；利润为模型且不做收益保证","Request a market-specific RFQ.","待成本和物流参数"
"28","批发招商","LinkedIn | Facebook Reels | YouTube Shorts","20s","Your first order may not need every size.","1.5kg试购和精品店；8/10kg高复购或价值渠道；不同货架模拟","Start with the pack size that matches your customer, shelf space and price point. Build the range after real sell-through data.","渠道建议不是保证；大规格尺寸和装箱须通过包装测试","Tell us your country and channel; we’ll recommend a starting mix.","待包装测试"
"29","批发招商","LinkedIn | Facebook Reels | YouTube Shorts","25s","We’re not choosing partners by order size alone.","当地合规；仓储；渠道覆盖；售后；内容执行；数据回传","We look for regulatory readiness, channel fit, responsible storage, local customer care and the ability to build repeat demand.","合作标准与经销政策一致；暂不承诺独家","Apply to become a TALVUMI market partner.","待经销政策"
"30","批发招商","LinkedIn | YouTube Shorts","25-30s","Here’s what happens after you request a quote.","提交国家渠道SKU数量；合规检查；样品报价；包装确认；生产验货出运","Market details first. Then compliance review, samples, quotation, confirmed packaging, production and shipment. No mystery—and no fake instant price.","流程与实际销售SOP一致；未确认不展示交期；贸易术语写入正式报价","Start your RFQ at talvumi.com.","待RFQ流程确认"
